hotel_id;name;url;image.url;location.address;description;price;sale_ price;location.locality;location.country;location.region
1;Отель Крошка Енот Ильинское Шоссе;https://www.hotel.su/travel/hotels/search?cityOrRegionId=140158000&Dlts=1&hotelId=216160504000;https://cdn1.hotel.su/s3/hotels-widget-api/t/1024x768/extranet/8e/f2/8ef24fcf6c02;улица Дружбы, 47;"Кондиционер в гостинице;";4200 RUB;4200 RUB;Москва;Россия;Москва
2;Арфа отель на Рязанском проспекте;https://www.hotel.su/travel/hotels/search?cityOrRegionId=140158000&Dlts=1&hotelId=3415865818000;https://images.hotel.su/h/o/140158000/3415865818000/studio1.jpg;1-я Новокузьминская улица, д. 19;"Кондиционер в гостинице;";1618 RUB;1618 RUB;Москва;Россия;Москва
3;Эсквайр;https://www.hotel.su/travel/hotels/search?cityOrRegionId=140158000&Dlts=1&hotelId=4244647398000;https://images.hotel.su/h/a/2/1310793/1153539357_G.jpg;Петровский бульвар, 15, строение 1;"Смена постельного белья;";3300 RUB;3300 RUB;Москва;Россия;Москва
4;Laspace Studios Этаж 3;https://www.hotel.su/travel/hotels/search?cityOrRegionId=140404000&Dlts=1&hotelId=5987155476000;https://cdn1.hotel.su/s3/hotels-widget-api/t/1024x768/extranet/e2/39/e2391801c980c92b45665143ac81d0e197803180.jpeg;Химки, Ленинградская с21;"Отопление;Прачечная;";2865 RUB;2865 RUB;Химки;Россия;Москва
5;Barin Residence Myasnitskaya;https://www.hotel.su/travel/hotels/search?cityOrRegionId=140158000&Dlts=1&hotelId=5199827060000;https://images.hotel.su/h/a/2/1395739/547046860_G.jpg;2/9, Milyutinskiy Lane;"Кондиционер в гостинице;";7003 RUB;7003 RUB;Москва;Россия;Москва
6;Добрые Соседи;https://www.hotel.su/travel/hotels/search?cityOrRegionId=1493977313000&Dlts=1&hotelId=6120408306000;https://images.hotel.su/h/a/9791/1486129/2418396529_G.jpg;улица Дружбы, 4;"Прачечная;";2500 RUB;2500 RUB;Москва;Россия;Москва
7;Аэростар;https://www.hotel.su/travel/hotels/search?cityOrRegionId=140158000&Dlts=1&hotelId=36144745000;https://images.hotel.su/h/o/140158000/36144745000/fasad.jpg;Ленинградский проспект, 37, корпус 9;;4612 RUB;4612 RUB;Москва;Россия;Москва
